TLANAME,CRASHROAD,CRASHDIST,CRASHDIRN,INTSN,SIDEROAD,CRASHID,CRASHDATE,CRASHDOW,CRASHTIME,MVMT,VEHICLES,CAUSES,OBJECTSSTRUCK,ROADCURVE,ROADWET,LIGHT,WTHRa,JUNCTYPE,TRAFCTRL,ROADMARK,SPDLIM,CRASHFATALCNT,CRASHSEVCNT,CRASHMINCNT,PERSAGE1,PERSAGE2,EASTING,NORTHING
Ashburton District,1S/401/0.868,, ,I,ELIZABETH AVENUE,201446094,20/09/2014,Sat,1650,LB,CS1C,303B 382B ,,R,D,B ,F ,X,S,P,70,0,0,0,,,1521531,5154726
Ashburton District,1S/401/2.619,2000,S, ,MICHAEL ST,201438796,26/05/2014,Mon,1605,FD,CS1C,181A ,,R,D,ON,F , ,N,C,100,0,0,0,,,1520486,5153411
Ashburton District,1S/401/4.259,, ,I,HATFIELD OVERDALE ROAD,201433962,12/03/2014,Wed,1535,GD,4S1V,387A 144B ,,R,D,B ,F ,X,S,C,100,0,0,0,,,1519087,5152555
Ashburton District,1S/401/4.259,, ,I,PENDARVES RAKAIA ROAD,201418855,14/12/2014,Sun,1510,HA,4N2C,301A 382A ,,R,D,BN,F ,X,S,C,100,0,0,1,,,1519087,5152555
Ashburton District,1S/401/4.259,, ,I,PENDARVES RAKAIA ROAD,201434078,10/04/2014,Thu,635,DB,CN1,110A 131A ,P,M,W,O ,F ,X,S,C,100,0,0,0,,,1519087,5152555
Ashburton District,1S/401/4.509,250,S, ,PENDARVES RAKAIA ROAD,201411269,16/03/2014,Sun,1155,EC,4N1,912,W,R,W,O ,H , , ,C,100,0,0,1,,,1518873,5152425
Ashburton District,1S/401/4.759,500,S, ,PENDARVES RAKAIA ROAD,201441610,04/08/2014,Mon,600,EC,4N1,912,W,R,D,DN,F , , ,C,100,0,0,0,,,1518660,5152295
Ashburton District,1S/401/8.357,120,W, ,CHERTSEY LINE ROAD,201442853,01/09/2014,Mon,1100,DA,CE1,111A 330A 386A ,GPS,M,D,O ,F , ,N,C,100,0,0,0,,,1515567,5150488
Ashburton District,1S/401/11.523,90,N, ,JAMIESONS ROAD,201414362,08/06/2014,Sun,40,CC,CS1,103A 130A 412A 801 ,FP,R,W,DN,L , , ,C,100,0,0,1,,,1512902,5148789
Ashburton District,1S/401/14.309,350,N, ,COPLANDS ROAD,201436874,08/04/2014,Tue,1450,FA,4S14,331A 370A 817 901 ,,R,W,O ,H , , ,C,100,0,0,0,,,1510520,5147343
